snapshot_id,Re,Re_label,time,period,cycle,phase,local_snapshot_index
43,50,Re_50p000000,1562.65626563,166.68333500016664,9.375000000020625,0.3750000000206253,43
44,50,Re_50p000000,1583.4916825,166.68333500016664,9.499999999990504,0.4999999999905036,44
45,50,Re_50p000000,1604.32709937,166.68333500016664,9.62499999996038,0.6249999999603801,45
46,50,Re_50p000000,1625.16251625,166.68333500016664,9.749999999990253,0.7499999999902531,46
47,50,Re_50p000000,1645.99793312,166.68333500016664,9.874999999960131,0.8749999999601314,47
48,50,Re_50p000000,1666.83335,166.68333500016664,9.999999999990003,0.9999999999900027,48
49,50,Re_50p000000,1687.66876688,166.68333500016664,10.125000000019876,0.12500000001987566,49
50,50,Re_50p000000,1708.50418375,166.68333500016664,10.249999999989754,0.24999999998975397,50
51,50,Re_50p000000,1729.33960063,166.68333500016664,10.375000000019625,0.3750000000196252,51
52,50,Re_50p000000,1750.1750175,166.68333500016664,10.499999999989504,0.4999999999895035,52
53,50,Re_50p000000,1771.01043437,166.68333500016664,10.62499999995938,0.62499999995938,53
54,50,Re_50p000000,1791.84585125,166.68333500016664,10.749999999989253,0.749999999989253,54
55,50,Re_50p000000,1812.68126813,166.68333500016664,10.875000000019126,0.875000000019126,55
56,50,Re_50p000000,1833.516685,166.68333500016664,10.999999999989003,0.9999999999890026,56
57,50,Re_50p000000,1854.35210188,166.68333500016664,11.125000000018876,0.12500000001887557,57
58,50,Re_50p000000,1875.18751875,166.68333500016664,11.249999999988754,0.24999999998875388,58
59,50,Re_50p000000,1896.02293562,166.68333500016664,11.37499999995863,0.3749999999586304,59
