Re,label,status,npz,n_times,n_points,n_cells,size_bytes
254.2670549182,Re_254p267055,completed,Re_254p267055_uvp_pointData.npz,129,97368,48128,66588448
259.25987151383515,Re_259p259872,completed,Re_259p259872_uvp_pointData.npz,128,97368,48128,66074602
264.2761504171667,Re_264p276150,completed,Re_264p276150_uvp_pointData.npz,129,97368,48128,66593654
269.31528573164144,Re_269p315286,completed,Re_269p315286_uvp_pointData.npz,129,97368,48128,66600077
274.37670461658155,Re_274p376705,completed,Re_274p376705_uvp_pointData.npz,128,97368,48128,66096318
279.4598645881182,Re_279p459865,completed,Re_279p459865_uvp_pointData.npz,129,97368,48128,66604968
284.56425110958367,Re_284p564251,completed,Re_284p564251_uvp_pointData.npz,129,97368,48128,66611399
289.68937543331265,Re_289p689375,completed,Re_289p689375_uvp_pointData.npz,129,97368,48128,66600821
294.8347726616741,Re_294p834773,completed,Re_294p834773_uvp_pointData.npz,129,97368,48128,66603585
300.0,Re_300p000000,completed,Re_300p000000_uvp_pointData.npz,129,97368,48128,66617347
